year,monthreported,category,dayofweek,timeofday,location,bikebrand,lock,registered,propertyvalue
12,June,theft bicycle,Tuesday,2400-0800,"BUS LOOP, RACKS",Schwinn,U-Lock,Yes,50
12,February,theft bicycle,Tuesday,0800-1600,ENGI,GT,U-Lock,No,95
12,May,theft bicycle,Tuesday,0800-1600,UCEN RACK,Rip Curl,Not Locked,Yes,99
12,May,theft bicycle,Tuesday,1600-2400,ARBOR,Pacific,Not Locked,Yes,100
12,February,theft bicycle,Tuesday,1600-2400,BROIDA,Urban,Not Locked,No,140
12,April,theft bicycle,Tuesday,0800-1600,PSB NORTH,Magna,U-Lock,Yes,150
12,January,theft bicycle,Tuesday,0800-1600,SOUTH HALL BIKE RACKS,Urban,U-Lock,Yes,160
12,October,theft bicycle,Tuesday,0800-1600,BROIDA RACKS,Schwinn,Cable Lock,No,216
12,October,theft bicycle,Tuesday,0800-1600,HSSB,Firmstrong,U-Lock,No,240
12,June,theft bicycle,Tuesday,Unknown,SANTA YNEZ RACKS,Trek,Not Locked,Yes,295
12,May,theft bicycle,Tuesday,1600-2400,ORTEGA COMMONS,Micargi,Cable Lock,No,325
12,March,theft bicycle,Tuesday,Unknown,BROIDA,Kona,Not listed,Yes,400
12,April,theft bicycle,Tuesday,0800-1600,HSSB,Trek,Not Locked,Yes,400
12,March,theft bicycle,Tuesday,2400-0800,SAN CLEMENTE RACKS,Electra,Cable Lock,No,465
12,November,theft bicycle,Tuesday,1600-2400,BUS LOOP,Rossetti,Not Locked,No,3200
12,September,theft bicycle,Unknown,Unknown,SAN MIGUEL RACKS,Unknown,U-Lock,Yes,50
12,February,theft bicycle,Unknown,Unknown,ENGII,Unknown,Chain Lock,No,60
12,January,theft bicycle,Unknown,Unknown,SANTA CATALINA,Huffy,Cable Lock,Yes,65
12,May,theft bicycle,Unknown,Unknown,KERR HALL,Unknown,Cable Lock,Yes,70
12,February,theft bicycle,Unknown,Unknown,SRB,Sun,U-Lock,Yes,70
12,December,theft bicycle,Unknown,Unknown,"TEPUSQUET, LA PATERA",3G,U-Lock,Yes,80
12,March,theft bicycle,Unknown,Unknown,SAN RAFAEL NEXT TO RACKS,Tereton,U-Lock,Yes,80
12,August,theft bicycle,Unknown,Unknown,SRB,Schwinn,U-Lock,No,87
12,March,theft bicycle,Unknown,Unknown,SANTA ROSA RACKS,Schwinn,Cable Lock,Yes,90
12,June,theft bicycle,Unknown,Unknown,ANACAPA RACKS,Schwinn,U-Lock,Yes,95
12,April,theft bicycle,Unknown,Unknown,GAVIOTA HOUSE,KHS,Cable Lock,No,100
12,March,theft bicycle,Unknown,Unknown,ENCINO VILLAGE,Sun,Cable Lock,No,100
12,June,theft bicycle,Unknown,Unknown,ENGI,GT,Cable Lock,Yes,100
12,February,theft bicycle,Unknown,Unknown,STORKEHOUSING,Diamondback,Not Locked,Yes,100
12,January,theft bicycle,Unknown,Unknown,"SAN RAFAEL, LOBBY",Magna,U-Lock,Yes,100
12,July,theft bicycle,Unknown,Unknown,SAN CLEMENTE RACKS,Firmstrong,U-Lock,Yes,105
12,June,theft bicycle,Unknown,Unknown,ENGII,Pacific,Cable Lock,No,110
12,April,theft bicycle,Unknown,Unknown,SSMS,Herby,U-Lock,No,115
12,April,theft bicycle,Unknown,Unknown,SANTA CATALINA,Schwinn,Cable Lock,Yes,115
12,November,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,Schwinn,Cable Lock,Yes,115
12,April,theft bicycle,Unknown,Unknown,UCEN,Schwinn,Cable Lock,Yes,115
12,May,theft bicycle,Unknown,Unknown,FT RACKS,Specialized,Not Locked,No,120
12,June,theft bicycle,Unknown,Unknown,KERR HALL RACKS,Schwinn,U-Lock,No,120
12,September,theft bicycle,Unknown,Unknown,LOT 30,Schwinn,Cable Lock,Yes,120
12,June,theft bicycle,Unknown,Unknown,ARTS,Lagoon 1,U-Lock,Yes,120
12,February,theft bicycle,Unknown,Unknown,THEATRE & DANCE,La Jolla,Cable Lock,Yes,125
12,May,theft bicycle,Unknown,Unknown,STORKE FAMILY HOUSING,Unknown,Cable Lock,No,130
12,December,theft bicycle,Unknown,Unknown,DAVIDSON LIBRARY,Urban,Not Locked,No,130
12,November,theft bicycle,Unknown,Unknown,TEPUSQUET RACKS,Thruster,U-Lock,Yes,130
12,December,theft bicycle,Unknown,Unknown,"LOMA PALOMA, MANZANITA",KHS,Cable Lock,Yes,140
12,August,theft bicycle,Unknown,Unknown,EVENTSCENTER,Diamondback,U-Lock,Yes,140
12,April,theft bicycle,Unknown,Unknown,ANACAPA,Schwinn,Cable Lock,Yes,145
12,April,theft bicycle,Unknown,Unknown,SAN CLEMENTE,Schwinn,U-Lock,No,150
12,March,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,Magana,Cable Lock,Yes,150
12,March,theft bicycle,Unknown,Unknown,SANTA CRUZ RACKS,Motiv,Cable Lock,Yes,150
12,November,theft bicycle,Unknown,Unknown,FT RACKS,Schwinn,Cable Lock,Yes,150
12,November,theft bicycle,Unknown,Unknown,ASBIKESHOP,Dawes,U-Lock,Yes,150
12,January,theft bicycle,Unknown,Unknown,SOUTH HALL,Firmstrong,Combo,Yes,160
12,December,theft bicycle,Unknown,Unknown,SAN MIGUEL RACKS,Schwinn,U-Lock,No,165
12,November,theft bicycle,Unknown,Unknown,MUSIC RACKS,Micargi,U-Lock,No,167
12,April,theft bicycle,Unknown,Unknown,MANZANITA RACKS,Schwinn,Not Locked,No,170
12,March,theft bicycle,Unknown,Unknown,SANTA CATALINA,Firmstrong,Cable Lock,Yes,170
12,March,theft bicycle,Unknown,Unknown,SAN MIGUEL RACKS,Shwick,Cable Lock,Yes,170
12,June,theft bicycle,Unknown,Unknown,"MUSIC, RACKS",Electra,U-Lock,Yes,170
12,January,theft bicycle,Unknown,Unknown,SANTA CATALINA,Macho,U-Lock,Yes,170
12,August,theft bicycle,Unknown,Unknown,"SAN NIC, RACKS",Schwinn,Cable Lock,Yes,180
12,March,theft bicycle,Unknown,Unknown,NORTH HALL,Body Glove,U-Lock,Yes,187
12,May,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,Schwinn,Cable Lock,No,190
12,January,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,Phat,U-Lock,Yes,190
12,April,theft bicycle,Unknown,Unknown,SAN NIC,Vanilla,Not Locked,Yes,195
12,January,theft bicycle,Unknown,Unknown,SANTA CATALINA,Huffy,Cable Lock,Yes,200
12,April,theft bicycle,Unknown,Unknown,SANTA CRUZ,Phat,Cable Lock,Yes,200
12,May,theft bicycle,Unknown,Unknown,FT RACKS,SE,Cable Lock,Yes,200
12,May,theft bicycle,Unknown,Unknown,"SAN CLEMENTE, RACKS IFO",Schwinn,U-Lock,Yes,200
12,May,theft bicycle,Unknown,Unknown,SANTA CRUZ,Electra,U-Lock,Yes,205
12,December,theft bicycle,Unknown,Unknown,SAN RAFAEL RACKS,Pakara,U-Lock,No,209
12,May,theft bicycle,Unknown,Unknown,"DAVIDSON LIBRARY, RACKS",3G,U-Lock,No,210
12,December,theft bicycle,Unknown,Unknown,FT,unknown,U-Lock,No,220
12,February,theft bicycle,Unknown,Unknown,BUS LOOP,Schwinn,Cable Lock,Yes,220
12,July,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,Specialized,Cable Lock,Yes,220
12,May,theft bicycle,Unknown,Unknown,"SANTA CATALINA, RACKS",Firmstrong,U-Lock,Yes,220
12,October,theft bicycle,Unknown,Unknown,DELAGUERRA RACKS,Mongoose,U-Lock,Yes,220
12,June,theft bicycle,Unknown,Unknown,SANTA YNEZ RACKS,Specialized,U-Lock,Yes,220
12,May,theft bicycle,Unknown,Unknown,"CIENEGA, LAS ENCINAS",Trek,U-Lock,No,230
12,January,theft bicycle,Unknown,Unknown,SAN MIGUEL RACKS,Unknown,U-Lock,No,230
12,August,theft bicycle,Unknown,Unknown,"SAN NIC, RACKS",Trek,Cable Lock,Yes,230
12,May,theft bicycle,Unknown,Unknown,GIRVETZ,Torker,U-Lock,Yes,230
12,December,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,Firmstrong,Cable Lock,Yes,235
12,October,theft bicycle,Unknown,Unknown,"SAN CLEMENTE, RACKS",Trek,Cable Lock,No,240
12,August,theft bicycle,Unknown,Unknown,HSSB,Dawes,U-Lock,No,250
12,May,theft bicycle,Unknown,Unknown,SANTA CATALINA,Fuji,Cable Lock,Yes,250
12,October,theft bicycle,Unknown,Unknown,SANTA CRUZ RACKS,Kromica,Cable Lock,Yes,250
12,January,theft bicycle,Unknown,Unknown,SANTA ROSA RACKS,Shimano,Cable Lock,Yes,250
12,January,theft bicycle,Unknown,Unknown,DELAGUERRA RACKS,Univega,Cable Lock,Yes,250
12,June,theft bicycle,Unknown,Unknown,"KERR HALL, RACK",Trek,Not listed,Yes,250
12,June,theft bicycle,Unknown,Unknown,SAN MIGUEL RACKS,Giant,Not listed,No,255
12,August,theft bicycle,Unknown,Unknown,SAN RAFAEL RACKS,Firmstrong,Cable Lock,No,259
12,March,theft bicycle,Unknown,Unknown,SANTA CRUZ,Retrospect,Cable Lock,Yes,265
12,June,theft bicycle,Unknown,Unknown,MUSIC RACKS,Fixie,U-Lock,Yes,265
12,October,theft bicycle,Unknown,Unknown,SANTA ROSA RACKS,Unknown,Cable Lock,Yes,268
12,February,theft bicycle,Unknown,Unknown,SOUTH HALL BIKE RACKS,Nashbar,U-Lock,No,270
12,February,theft bicycle,Unknown,Unknown,SAN MIGUEL,Micargi,U-Lock,Yes,270
12,December,theft bicycle,Unknown,Unknown,BUS LOOP,Retrospec,Cable Lock,No,275
12,September,theft bicycle,Unknown,Unknown,SANTA YNEZ RACKS,Micargi,Cable Lock,No,280
12,February,theft bicycle,Unknown,Unknown,HSSB,Univega,U-Lock,Yes,295
12,August,theft bicycle,Unknown,Unknown,THEATRE & DANCE,Diamondback,Combo,No,299
12,March,theft bicycle,Unknown,Unknown,ANACAPA,Vilano,Cable Lock,No,300
12,May,theft bicycle,Unknown,Unknown,STORKE FAMILY HOUSING O/S,KHS,U-Lock,No,300
12,June,theft bicycle,Unknown,Unknown,"GIRVETZ, RACKS",Novara,Not listed,Yes,300
12,May,theft bicycle,Unknown,Unknown,HSSB RACKS,Trek,Not listed,Yes,300
12,March,theft bicycle,Unknown,Unknown,SAN MIGUEL RACKS,3G,Not Locked,Yes,300
12,February,theft bicycle,Unknown,Unknown,SAN RAFAEL RACKS,Unknown,U-Lock,Yes,300
12,June,theft bicycle,Unknown,Unknown,MANZANITA VILLAGE RACKS,Micargi,U-Lock,Yes,311
12,January,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,Schwinn,Cable Lock,No,315
12,November,theft bicycle,Unknown,Unknown,SANTA CATALINA BIKE RACKS,Schwinn,Cable Lock,Yes,315
12,May,theft bicycle,Unknown,Unknown,"CAMPBELL HALL, RACKS",Purefix,Cable Lock,No,320
12,January,theft bicycle,Unknown,Unknown,SAN RAFAEL,Univega,Cable Lock,No,320
12,October,theft bicycle,Unknown,Unknown,FT RACKS,Unknown,Cable Lock,No,320
12,October,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,Gravity,U-Lock,Yes,325
12,November,theft bicycle,Unknown,Unknown,SANTA ROSA RACKS,Purefix,U-Lock,Yes,330
12,April,theft bicycle,Unknown,Unknown,SANTA CATALINA,Specialized,Cable Lock,Yes,350
12,October,theft bicycle,Unknown,Unknown,ANACAPA RACKS,Unknown,Cable Lock,No,359
12,October,theft bicycle,Unknown,Unknown,DAVIDSON LIBRARY,Fuji,U-Lock,No,360
12,October,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,Firmstrong,Cable Lock,Yes,365
12,May,theft bicycle,Unknown,Unknown,"SANTA CATALINA, BIKE RACK",Schwinn,Not listed,No,391
12,November,theft bicycle,Unknown,Unknown,LOT 38 RACKS,Electra,Cable Lock,No,400
12,July,theft bicycle,Unknown,Unknown,"DAVIDSON LIBRARY, RACKS",Cannondale,Not listed,No,400
12,July,theft bicycle,Unknown,Unknown,COUNSELINGCAREER,Trek,Not listed,Yes,400
12,May,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,Mirraco,U-Lock,Yes,400
12,January,theft bicycle,Unknown,Unknown,ROB GYM,Peugeot,Cable Lock,No,420
12,June,theft bicycle,Unknown,Unknown,SANTA CRUZ RACKS,Peugeot,Cable Lock,Yes,420
12,March,theft bicycle,Unknown,Unknown,SRB,Electra,U-Lock,Yes,420
12,August,theft bicycle,Unknown,Unknown,"SAN RAFAEL, RACKS",Specialized,Combo,No,440
12,June,theft bicycle,Unknown,Unknown,"ARTS, RACKS",Giant,U-Lock,Yes,440
12,May,theft bicycle,Unknown,Unknown,STORKE FAMILY HSING PATIO,Nishiki,Not Locked,Yes,450
12,November,theft bicycle,Unknown,Unknown,BRADBURY VILLAGE RACKS,DiamondBack,Cable Lock,No,456
12,September,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,Unknown,Chain Lock,Yes,475
12,April,theft bicycle,Unknown,Unknown,"FIGUEROA, LOS ROBLES QUAD, MANZANITA RACKS",Cadillac,Cable Lock,Yes,520
12,April,theft bicycle,Unknown,Unknown,SANTA CATALINA,Raleigh,U-Lock,Yes,530
12,October,theft bicycle,Unknown,Unknown,SAN MIGUEL RACKS,Townie,U-Lock,Yes,550
12,October,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,Scott,Not listed,Yes,600
12,October,theft bicycle,Unknown,Unknown,SAN NIC RACKS,Giant,U-Lock,Yes,610
12,April,theft bicycle,Unknown,Unknown,SANTA CATALINA,Giant,Combo,No,615
12,March,theft bicycle,Unknown,Unknown,STORKE FAMILY HOUSING,SE,U-Lock,No,750
12,June,theft bicycle,Unknown,Unknown,"SAN MIGUEL, RACKS",Specialized,U-Lock,No,775
12,November,theft bicycle,Unknown,Unknown,SANTA CRUZ RACKS,Marin,U-Lock,Yes,780
12,March,theft bicycle,Unknown,Unknown,MANZANITA VILLAGE RACKS,Strida Novara,Cable Lock,Yes,830
12,August,theft bicycle,Unknown,Unknown,SAN RAFAEL RACK,Trek,Cable Lock,No,925
12,January,theft bicycle,Unknown,Unknown,SAN CLEMENTE RACKS,Kona,Cable Lock,No,2050
12,March,theft bicycle,Unknown,Unknown,MANZANITA VILLAGE BIKE RACKS,Giant,Cable Lock,No,2436
12,March,theft bicycle,Wednesday,0800-1600,ENGII,Unknown,Cable Lock,No,15
12,May,theft bicycle,Wednesday,0800-1600,DELAGUERRA RACKS,Electra,Not listed,No,50
12,February,theft bicycle,Wednesday,0800-1600,STUDENT HEALTH,Diamondback,Not Locked,No,80
12,February,theft bicycle,Wednesday,0800-1600,MUSIC,Nirve,Not Locked,No,150
12,October,theft bicycle,Wednesday,1600-2400,"CAMPBELL HALL, RACKS",Unknown,Not Locked,No,150
12,May,theft bicycle,Wednesday,1600-2400,RECCEN,Kabuke,Not listed,No,200
12,May,theft bicycle,Wednesday,2400-0800,SAN CLEMENTE OUTSIDE #2113,Schwinn,Not Locked,No,217
12,February,theft bicycle,Wednesday,1600-2400,ECEN,Zilano,Cable Lock,Yes,220
12,May,theft bicycle,Wednesday,0800-1600,"STORKE FAMILY HOUSING, O/S #765 BIRCH",Urban,Not listed,No,250
12,October,theft bicycle,Wednesday,1600-2400,SANTA CATALINA RACKS,K2,Cable Lock,Yes,320
12,November,theft bicycle,Wednesday,Unknown,SANTA CATALINA BIKE RACKS,Haro,Cable Lock,Yes,420
12,August,theft bicycle,Wednesday,1600-2400,MUSIC,Trek,Cable Lock,No,920
12,June,theft bicycle,Wednesday,2400-0800,SANTA YNEZ APT. RACKS,Windsor,U-Lock,Yes,1152
13,December,theft bicycle,Friday,1600-2400,MUSIC RACKS,Unknown,U-Lock,Yes,220
13,May,theft bicycle,Friday,0800-1600,STUDENT HEALTH RACKS,Schwinn,Cable Lock,No,230
13,June,theft bicycle,Friday,1600-2400,STORKEFIELD,Specialized,Cable Lock,No,230
13,June,theft bicycle,Monday,1600-2400,GIRVETZ,Diamondback,Not listed,No,100
13,June,theft bicycle,Monday,0800-1600,CHEMISTRY RACKS,Raleigh,U-Lock,Yes,120
13,April,theft bicycle,Monday,0800-1600,CAMPBELL HALL RACKS,Kabuto,Not Locked,No,140
13,January,theft bicycle,Monday,1600-2400,SANTA CATALINA,Thruster,Other,Yes,165
13,May,theft bicycle,Monday,0800-1600,LIBRARY RACKS,Huffy,Not Locked,No,200
13,March,theft bicycle,Monday,1600-2400,RECCEN,Thruster,U-Lock,No,205
13,July,theft bicycle,Monday,1600-2400,DAVIDSON LIBRARY,Firmstrong,Not listed,No,237
13,January,theft bicycle,Monday,1600-2400,ARBOR,Micargi,Not listed,No,300
13,June,theft bicycle,Monday,2400-0800,LIBRARY,Fuji,U-Lock,Yes,365
13,April,theft bicycle,Monday,0800-1600,SYA RACKS,Trek,U-Lock,No,400
13,October,theft bicycle,Saturday,1600-2400,ECEN RACKS,Specialized,Not Locked,No,100
13,January,theft bicycle,Saturday,0800-1600,BROIDA,Retrospec,Cable Lock,No,390
13,July,theft bicycle,Saturday,1600-2400,IFO WEST CAMPUS FAMILY HOUSING,Cilo,Not Locked,No,1000
13,January,theft bicycle,Saturday,1600-2400,ORTEGA RACKS,Trek,U-Lock,No,1018
13,April,theft bicycle,Saturday,0800-1600,WEBB HALL RACKS,Raleigh,U-Lock,No,1230
13,April,theft bicycle,Saturday,0800-1600,LOT 15,Trek,Cable Lock,No,1500
13,February,theft bicycle,Sunday,0800-1600,RECCEN RACKS,Firmstrong,Not Locked,Yes,200
13,July,theft bicycle,Sunday,1600-2400,DLG RACKS,Micargi,Cable Lock,No,330
13,December,theft bicycle,Thursday,0800-1600,SAASB RACKS,Shasta,Not Locked,No,50
13,April,theft bicycle,Thursday,0800-1600,BROIDA RACKS,Denali,Cable Lock,No,85
13,June,theft bicycle,Thursday,0800-1600,LOMA PALOMA RACKS,Nirve,U-Lock,Yes,120
13,October,theft bicycle,Thursday,0800-1600,CAMPBELL HALL,Thruster,U-Lock,Yes,120
13,March,theft bicycle,Thursday,0800-1600,RECCEN RACKS,KHS,Not listed,No,165
13,May,theft bicycle,Thursday,1600-2400,BUS LOOP RACK,NEXT,Cable Lock,Yes,166
13,May,theft bicycle,Thursday,1600-2400,PSYCHOLOGY RACKS,Giant,Cable Lock,Yes,225
13,September,theft bicycle,Thursday,1600-2400,LIBRARY RACKS,SE,U-Lock,No,320
13,April,theft bicycle,Thursday,0800-1600,UCEN RACKS,Urban,U-Lock,No,330
13,May,theft bicycle,Thursday,0800-1600,SANTA ROSA RACKS,Electra,U-Lock,Yes,450
13,January,theft bicycle,Thursday,1600-2400,ORTEGA DINING COMMONS RACKS,Trek,U-Lock,No,1018
13,April,theft bicycle,Tuesday,0800-1600,CAMPBELL HALL RACKS,Magna,Not Locked,Yes,40
13,October,theft bicycle,Tuesday,0800-1600,FT RACKS,Pacific,Cable Lock,Yes,110
13,May,theft bicycle,Tuesday,0800-1600,MANZANITA RACKS,Ireland,U-Lock,Yes,110
13,November,theft bicycle,Tuesday,0800-1600,LOT 30 RACKS,Unknown,Cable Lock,No,112
13,February,theft bicycle,Tuesday,0800-1600,CAMPBELL HALL RACKS,Schwinn,U-Lock,No,120
13,June,theft bicycle,Tuesday,1600-2400,LIBRARY,Fuji,Cable Lock,Yes,130
13,November,theft bicycle,Tuesday,0800-1600,CHEMISTRY RACKS,Thruster,Combo,No,135
13,May,theft bicycle,Tuesday,0800-1600,SAN NIC RACKS,Anza,U-Lock,Yes,170
13,March,theft bicycle,Tuesday,0800-1600,PHELPS RACKS,Unknown,U-Lock,No,190
13,August,theft bicycle,Tuesday,1600-2400,RECCEN,Takara,U-Lock,No,200
13,July,theft bicycle,Tuesday,1600-2400,BROIDA RACKS,Unknown,U-Lock,No,200
13,November,theft bicycle,Tuesday,0800-1600,CHEMISTRY RACKS,Northstar,Cable Lock,No,220
13,October,theft bicycle,Tuesday,1600-2400,"PSB NORTH, RACKS",Firmstrong,U-Lock,Yes,250
13,September,theft bicycle,Tuesday,0800-1600,STORKE FAMILY HSNG,Trek,U-Lock,No,295
13,October,theft bicycle,Tuesday,2400-0800,STORKE FAMILY HOUSING,Trek,Cable Lock,No,370
13,December,theft bicycle,Tuesday,1600-2400,CAMPBELL HALL RACKS,Raleigh,Cable Lock,No,460
13,May,theft bicycle,Tuesday,0800-1600,KERR HALL RACKS,Cannondale,Cable Lock,No,620
13,September,theft bicycle,Tuesday,Unknown,THEATRE & DANCE RACKS,Bianchi,Combo,No,820
13,July,theft bicycle,Tuesday,0800-1600,LIBRARY,Giant,Cable Lock,No,1030
13,August,theft bicycle,Unknown,Unknown,STORKE FAMILY HSNG RACKS,Mongoose,Not Locked,Yes,60
13,May,theft bicycle,Unknown,Unknown,BIO RACKS,3G,Not Locked,No,80
13,June,theft bicycle,Unknown,Unknown,SAASB RACKS,American Flyer,Cable Lock,Yes,90
13,September,theft bicycle,Unknown,Unknown,ANACAPA RACKS,Unknown,Cable Lock,Yes,90
13,April,theft bicycle,Unknown,Unknown,MCC RACKS,Huffy,U-Lock,Yes,90
13,July,theft bicycle,Unknown,Unknown,HSSB RACKS,Nashbar,Cable Lock,No,92
13,May,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,Unknown,U-Lock,No,95
13,May,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,Huffy,Not Locked,Yes,95
13,December,theft bicycle,Unknown,Unknown,BRADBURY VILLAGE RACKS,Unknown,Not listed,No,100
13,October,theft bicycle,Unknown,Unknown,CARRILLO COMMONS RACK,Specialized,Other,No,100
13,June,theft bicycle,Unknown,Unknown,BUS LOOP,Huffy,Cable Lock,Yes,100
13,November,theft bicycle,Unknown,Unknown,THEATRE & DANCE RACKS,Trek,Not Locked,Yes,100
13,February,theft bicycle,Unknown,Unknown,UCEN RACKS,Electra,Combo,Yes,105
13,January,theft bicycle,Unknown,Unknown,SAN NIC,Huffy,U-Lock,Yes,115
13,November,theft bicycle,Unknown,Unknown,SANTA YNEZ RACKS,Unknown,U-Lock,No,120
13,August,theft bicycle,Unknown,Unknown,"STORKE FAMILY HOUSING, RACKS",Unknown,U-Lock,No,120
13,October,theft bicycle,Unknown,Unknown,ANACAPA RACKS,Diamondback,Cable Lock,Yes,120
13,June,theft bicycle,Unknown,Unknown,SAN RAFAEL RACKS,Trek,Cable Lock,Yes,120
13,April,theft bicycle,Unknown,Unknown,HSSB RACKS,Firmstrong,U-Lock,Yes,120
13,August,theft bicycle,Unknown,Unknown,ARTS RACKS,Takara,U-Lock,Yes,120
13,April,theft bicycle,Unknown,Unknown,ECEN,Raleigh,Cable Lock,Yes,125
13,November,theft bicycle,Unknown,Unknown,SANTA CRUZ RACKS,Schwinn,Cable Lock,Yes,125
13,January,theft bicycle,Unknown,Unknown,SOUTH HALL,Unknown,U-Lock,Yes,125
13,June,theft bicycle,Unknown,Unknown,RECCEN RACKS,Huffy,U-Lock,Yes,130
13,April,theft bicycle,Unknown,Unknown,SYA RACKS,Mongoose,Not Locked,No,150
13,February,theft bicycle,Unknown,Unknown,BUS LOOP,Huffy,Cable Lock,Yes,150
13,September,theft bicycle,Unknown,Unknown,STORKE FAMILY HSNG,Schwinn,U-Lock,Yes,150
13,February,theft bicycle,Unknown,Unknown,HSSB,Takara,U-Lock,No,165
13,April,theft bicycle,Unknown,Unknown,FT RACKS,Trek,U-Lock,No,165
13,November,theft bicycle,Unknown,Unknown,SAN CLEMENTE (ENCINO VILLAGE) RACKS,Diamondback,Cable Lock,Yes,165
13,February,theft bicycle,Unknown,Unknown,SYA O/S 138,Schwinn,U-Lock,Yes,165
13,October,theft bicycle,Unknown,Unknown,DELAGUERRA RACKS,Citizen,Cable Lock,Yes,170
13,October,theft bicycle,Unknown,Unknown,RECCEN RACKS,Schwinn,Cable Lock,Yes,170
13,October,theft bicycle,Unknown,Unknown,STORKEHOUSING,Yukon,Not listed,No,175
13,July,theft bicycle,Unknown,Unknown,SAASB RACKS,Dahon,U-Lock,No,175
13,December,theft bicycle,Unknown,Unknown,DAVIDSON LIBRARY RACKS,Thruster,U-Lock,Yes,175
13,November,theft bicycle,Unknown,Unknown,SAN NICOLAS RACKS,Champion,Chain Lock,No,185
13,February,theft bicycle,Unknown,Unknown,GGSE RACKS,Mongoose,Cable Lock,No,190
13,November,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,Schwinn,U-Lock,No,190
13,May,theft bicycle,Unknown,Unknown,SAN MIGUEL RACKS,Specialized,Not listed,No,200
13,May,theft bicycle,Unknown,Unknown,STORKHOUSING,Schwinn,U-Lock,No,200
13,September,theft bicycle,Unknown,Unknown,EL DORADO RACKS,Corsa,Not listed,Yes,200
13,October,theft bicycle,Unknown,Unknown,MANZANITA RACKS,Micargi,U-Lock,Yes,200
13,June,theft bicycle,Unknown,Unknown,SYA RACKS,Origin 8,U-Lock,Yes,200
13,June,theft bicycle,Unknown,Unknown,SAN MIGUEL RACKS,Schwinn,U-Lock,Yes,205
13,November,theft bicycle,Unknown,Unknown,SAN CLEMENTE (CASTIAC) RACKS,Wave,Combo,No,210
13,October,theft bicycle,Unknown,Unknown,WESTCAMPUS,Hyper,Cable Lock,No,214
13,May,theft bicycle,Unknown,Unknown,EVENT CENTER RACKS,Spectrum,U-Lock,No,215
13,January,theft bicycle,Unknown,Unknown,SAN CLEMENTE,Cuttler,U-Lock,Yes,218
13,October,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,Unknown,Cable Lock,No,220
13,January,theft bicycle,Unknown,Unknown,ARROWHEAD VILLAGE RACKS,Takara,U-Lock,No,220
13,January,theft bicycle,Unknown,Unknown,"MIRANDA, LAS ENCINAS BIKE RACKS",Pacific,Cable Lock,Yes,220
13,June,theft bicycle,Unknown,Unknown,ANACAPA RACKS,Trek,Combo,Yes,220
13,April,theft bicycle,Unknown,Unknown,SAN MIGUEL RACKS,Centurion,U-Lock,Yes,220
13,April,theft bicycle,Unknown,Unknown,HSSB RACKS,Schwinn,Cable Lock,Yes,230
13,August,theft bicycle,Unknown,Unknown,LIBRARY,Schwinn,Cable Lock,Yes,230
13,April,theft bicycle,Unknown,Unknown,SANTA CRUZ RACK,Firmstrong,U-Lock,Yes,230
13,June,theft bicycle,Unknown,Unknown,ANACAPA RACKS,Takara,U-Lock,Yes,240
13,May,theft bicycle,Unknown,Unknown,SAN RAF RACKS,Schwinn,U-Lock,Yes,260
13,April,theft bicycle,Unknown,Unknown,SANTA YNEX RACKS,Unknown,Cable Lock,No,265
13,April,theft bicycle,Unknown,Unknown,SAN RAFAEL RACKS,Univega,U-Lock,No,265
13,October,theft bicycle,Unknown,Unknown,O/S WESTGATE APTS.,Unknown,Cable Lock,No,275
13,June,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,Fixie,U-Lock,No,285
13,July,theft bicycle,Unknown,Unknown,SRB,Schwinn,U-Lock,No,295
13,July,theft bicycle,Unknown,Unknown,LIBRARY RACKS,Firmstrong,Not listed,No,300
13,May,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,RetroSpec,Not listed,No,300
13,February,theft bicycle,Unknown,Unknown,FT RACKS,Unknown,Other,No,300
13,June,theft bicycle,Unknown,Unknown,CARRILLO COMMONS RACKS,Firmstrong,Not Locked,Yes,300
13,January,theft bicycle,Unknown,Unknown,LA PATERA QUAD RACKS,Micargi,Other,No,320
13,October,theft bicycle,Unknown,Unknown,SANTA CATALINA,Schwinn,Cable Lock,Yes,325
13,October,theft bicycle,Unknown,Unknown,SANTA ROSA RACKS,Unknown,U-Lock,No,330
13,December,theft bicycle,Unknown,Unknown,SAN MIGUEL RACKS,Trek,Cable Lock,No,350
